"","site","comid","lon","lat","inletoutlet","tocomid","direction"
"173","MDDNR-LE1.3",11909668,-76.4849,38.3398,"inlet",NA,"dn"
"174","MDDNR-LE1.3",11909668,-76.4849,38.3398,"outlet",NA,"up"
"175","MDDNR-LE1.4",11909682,-76.4215,38.312,"inlet",NA,"dn"
"176","MDDNR-LE1.4",11909682,-76.4215,38.312,"outlet",NA,"up"
"177","MDDNR-LE2.2",4532367,-76.598,38.1576,"inlet",NA,"dn"
"178","MDDNR-LE2.2",4532367,-76.598,38.1576,"outlet",4532743,"up"
"179","MDDNR-LE2.3",4532641,-76.347702,38.0215,"inlet",NA,"dn"
"180","MDDNR-LE2.3",4532641,-76.347702,38.0215,"outlet",4532491,"up"
"181","MDDNR-LYO0004",3809539,-79.419251,39.418435,"inlet",NA,"dn"
"182","MDDNR-LYO0004",3809539,-79.419251,39.418435,"outlet",3809829,"up"
"183","MDDNR-MAT0016",4529657,-77.1935,38.5651,"inlet",NA,"dn"
"184","MDDNR-MAT0016",4529657,-77.1935,38.5651,"outlet",4529759,"up"
"185","MDDNR-MAT0078",4529579,-77.1186,38.5885,"inlet",4529759,"dn"
"186","MDDNR-MAT0078",4529579,-77.1186,38.5885,"outlet",NA,"up"
"187","MDDNR-MON0020",8450674,-77.4416,39.2717,"inlet",NA,"dn"
"188","MDDNR-MON0020",8450674,-77.4416,39.2717,"outlet",NA,"up"
"189","MDDNR-MON0155",8450272,-77.3811,39.3878,"inlet",NA,"dn"
"190","MDDNR-MON0155",8450272,-77.3811,39.3878,"outlet",NA,"up"
"191","MDDNR-MON0269",8449918,-77.3894,39.4803,"inlet",NA,"dn"
"192","MDDNR-MON0269",8449918,-77.3894,39.4803,"outlet",NA,"up"
"193","MDDNR-NBP0461",14364764,-78.971748,39.444907,"inlet",NA,"dn"
"194","MDDNR-NBP0461",14364764,-78.971748,39.444907,"outlet",14365984,"up"
"195","MDDNR-NBP0534",14364988,-79.0680239,39.479227,"inlet",14365982,"dn"
"196","MDDNR-NBP0534",14364988,-79.0680239,39.479227,"outlet",NA,"up"
"197","MDDNR-NBP0689",14365188,-79.179358,39.389346,"inlet",NA,"dn"
"198","MDDNR-NBP0689",14365188,-79.179358,39.389346,"outlet",NA,"up"
"199","MDDNR-NPA0165",11689978,-76.8821,39.4828,"inlet",NA,"dn"
"200","MDDNR-NPA0165",11689978,-76.8821,39.4828,"outlet",NA,"up"
"201","MDDNR-PAT0176",11689334,-76.7053,39.2178,"inlet",11690202,"dn"
"202","MDDNR-PAT0176",11689334,-76.7053,39.2178,"outlet",NA,"up"
"203","MDDNR-PAT0285",11689718,-76.7922,39.3124,"inlet",NA,"dn"
"204","MDDNR-PAT0285",11689718,-76.7922,39.3124,"outlet",NA,"up"
"205","MDDNR-PIS0033",22338029,-76.9867,38.6984,"inlet",NA,"dn"
"206","MDDNR-PIS0033",22338029,-76.9867,38.6984,"outlet",22338119,"up"
"207","MDDNR-POT1184",4512772,-77.1273,38.9482,"inlet",NA,"dn"
"208","MDDNR-POT1184",4512772,-77.1273,38.9482,"outlet",NA,"up"
"209","MDDNR-POT1471",4507430,-77.5212,39.1544,"inlet",NA,"dn"
"210","MDDNR-POT1471",4507430,-77.5212,39.1544,"outlet",NA,"up"
"211","MDDNR-POT1472",4507430,-77.5223,39.1555,"inlet",NA,"dn"
"212","MDDNR-POT1472",4507430,-77.5223,39.1555,"outlet",NA,"up"
"213","MDDNR-POT1595",4507348,-77.5437,39.2735,"inlet",NA,"dn"
"214","MDDNR-POT1595",4507348,-77.5437,39.2735,"outlet",NA,"up"
"215","MDDNR-POT1596",4507346,-77.5479,39.2721,"inlet",NA,"dn"
"216","MDDNR-POT1596",4507346,-77.5479,39.2721,"outlet",NA,"up"
"217","MDDNR-POT1830",5894792,-77.8027,39.4351,"inlet",NA,"dn"
"218","MDDNR-POT1830",5894792,-77.8027,39.4351,"outlet",NA,"up"
"219","MDDNR-PXT0809",11905746,-76.8749,39.1168,"inlet",NA,"dn"
"220","MDDNR-PXT0809",11905746,-76.8749,39.1168,"outlet",11906414,"up"
"221","MDDNR-PXT0972",11907296,-77.0562,39.2393,"inlet",11907468,"dn"
"222","MDDNR-PXT0972",11907296,-77.0562,39.2393,"outlet",NA,"up"
"223","MDDNR-RCM0111",22338431,-77.063,38.993,"inlet",NA,"dn"
"224","MDDNR-RCM0111",22338431,-77.063,38.993,"outlet",22337529,"up"
"225","MDDNR-RET1.1",11909794,-76.6643,38.4909,"inlet",NA,"dn"
"226","MDDNR-RET1.1",11909794,-76.6643,38.4909,"outlet",NA,"up"
"227","MDDNR-RET2.1",4534619,-77.2691,38.4035,"inlet",NA,"dn"
"228","MDDNR-RET2.1",4534619,-77.2691,38.4035,"outlet",NA,"up"
"229","MDDNR-RET2.2",4534635,-77.2051,38.3525,"inlet",NA,"dn"
"230","MDDNR-RET2.2",4534635,-77.2051,38.3525,"outlet",NA,"up"
