"","comid","lon","lat","inletoutlet","tocomid","direction"
"219",16741021,-80.7625558,27.1919911,"inlet",16741021,"dn"
"220",16741021,-80.7625558,27.1919911,"outlet",NA,"up"
"221",83648,-80.5090558,25.6116111,"inlet",NA,"dn"
"222",83648,-80.5090558,25.6116111,"outlet",NA,"up"
"223",89748,-80.6742267,25.7620456,"inlet",NA,"dn"
"224",89748,-80.6742267,25.7620456,"outlet",NA,"up"
"225",16742583,-80.6318586,26.8647461,"inlet",16742583,"dn"
"226",16742583,-80.6318586,26.8647461,"outlet",16742587,"up"
"227",89748,-80.3675478,26.6845086,"inlet",16742583,"dn"
"228",89748,-80.3675478,26.6845086,"outlet",NA,"up"
"229",89748,-80.4456058,26.4722953,"inlet",16742583,"dn"
"230",89748,-80.4456058,26.4722953,"outlet",NA,"up"
"231",21484580,-81.1981189,27.8039133,"inlet",21484580,"dn"
"232",21484580,-81.1981189,27.8039133,"outlet",21484578,"up"
"233",21484714,-81.1342289,27.66003,"inlet",21484944,"dn"
"234",21484714,-81.1342289,27.66003,"outlet",21484580,"up"
"235",21483596,-81.1956197,27.5028136,"inlet",21485092,"dn"
"236",21483596,-81.1956197,27.5028136,"outlet",21484944,"up"
"237",21491800,-81.114785,27.4014286,"inlet",NA,"dn"
"238",21491800,-81.114785,27.4014286,"outlet",21485092,"up"
"239",21491892,-81.0228392,27.3144869,"inlet",21489440,"dn"
"240",21491892,-81.0228392,27.3144869,"outlet",21485092,"up"
"241",21489426,-80.9625603,27.2253233,"inlet",21489440,"dn"
"242",21489426,-80.9625603,27.2253233,"outlet",21485092,"up"
"243",89748,-80.5367861,26.3356431,"inlet",21489440,"dn"
"244",89748,-80.5367861,26.3356431,"outlet",NA,"up"
"245",16728706,-81.0708967,27.0342194,"inlet",166757654,"dn"
"246",16728706,-81.0708967,27.0342194,"outlet",27807461,"up"
"247",89748,-80.7742258,26.3323014,"inlet",166757654,"dn"
"248",89748,-80.7742258,26.3323014,"outlet",NA,"up"
"249",89748,-80.4432103,26.0616775,"inlet",166757654,"dn"
"250",89748,-80.4432103,26.0616775,"outlet",NA,"up"
"251",89748,-80.8817008,26.3304686,"inlet",166757654,"dn"
"252",89748,-80.8817008,26.3304686,"outlet",NA,"up"
"253",21490136,-81.2117311,27.5003136,"inlet",21501330,"dn"
"254",21490136,-81.2117311,27.5003136,"outlet",NA,"up"
"255",21484338,-81.2147867,27.5344792,"inlet",21484920,"dn"
"256",21484338,-81.2147867,27.5344792,"outlet",21485088,"up"
"257",89748,-80.8819083,26.3301361,"inlet",21484920,"dn"
"258",89748,-80.8819083,26.3301361,"outlet",NA,"up"
"259",83648,-80.5017381,25.7614592,"inlet",NA,"dn"
"260",83648,-80.5017381,25.7614592,"outlet",NA,"up"
"261",6333720,-84.3579807,33.6789971,"inlet",NA,"dn"
"262",6333720,-84.3579807,33.6789971,"outlet",6334244,"up"
"263",2047989,-84.4076389,33.8203056,"inlet",NA,"dn"
"264",2047989,-84.4076389,33.8203056,"outlet",2048179,"up"
"265",15647198,-83.6532653,40.9792203,"inlet",15644530,"dn"
"266",15647198,-83.6532653,40.9792203,"outlet",15645750,"up"
"267",15634673,-83.7127145,41.5000526,"inlet",NA,"dn"
"268",15634673,-83.7127145,41.5000526,"outlet",NA,"up"
"269",15612718,-83.1588088,41.3078307,"inlet",NA,"dn"
"270",15612718,-83.1588088,41.3078307,"outlet",NA,"up"
"271",15605384,-82.6082326,41.3008852,"inlet",15605484,"dn"
"272",15605384,-82.6082326,41.3008852,"outlet",NA,"up"
"273",15587072,-81.6298478,41.3953309,"inlet",NA,"dn"
"274",15587072,-81.6298478,41.3953309,"outlet",NA,"up"
"275",9848335,-81.2278789,41.7189339,"inlet",9848429,"dn"
"276",9848335,-81.2278789,41.7189339,"outlet",NA,"up"
"277",9407484,-75.7858056,38.9971944,"inlet",NA,"dn"
"278",9407484,-75.7858056,38.9971944,"outlet",9406534,"up"
"279",11907758,-76.6936944,38.9559167,"inlet",NA,"dn"
"280",11907758,-76.6936944,38.9559167,"outlet",11906414,"up"
"281",11908364,-76.7487222,38.8142222,"inlet",11908590,"dn"
